city,idx,name,img,w,h,ratio,bytes,page,credit,reason
algiers,7,Jardin d'Essai du Hamma,images/landmarks/algiers-jardin-dessai-du-hamma.webp,1200,483,2.484,147184,https://commons.wikimedia.org/wiki/File:Jardin_d%27essai_du_Hamma.jpg,,ultra-wide
kashan,7,Tepe Sialk,images/landmarks/kashan-tepe-sialk.webp,1200,482,2.49,49322,"https://commons.wikimedia.org/wiki/File:Tepe_Sialk,_Kashan,_Irán,_2016-09-19,_DD_24.jpg",,ultra-wide
marmaris,6,Turunç Bay,images/landmarks/marmaris-turunc-bay.webp,1200,480,2.5,110758,https://commons.wikimedia.org/wiki/File:Turunc_panorama.jpg,,ultra-wide
munich,2,Nymphenburg Palace,images/landmarks/munich-nymphenburg-palace.webp,1200,480,2.5,76398,https://commons.wikimedia.org/wiki/File:Image-Schloss_Nymphenburg_Munich_CC.jpg,,ultra-wide
nassau,9,Prince George Wharf,images/landmarks/nassau-prince-george-wharf.webp,1200,480,2.5,79052,https://commons.wikimedia.org/wiki/File:Prince_George_Wharf_in_Nassau_Harbor.jpg,,ultra-wide
san-francisco,3,Painted Ladies,images/landmarks/san-francisco-painted-ladies.webp,1200,480,2.5,103026,https://commons.wikimedia.org/wiki/File:Painted_Ladies_San_Francisco_January_2013_panorama_2.jpg,,ultra-wide
chongqing,7,Nanshan Yizhi Botanical Garden (One Tree Viewing Platform),images/landmarks/chongqing-nanshan-yizhi-botanical-garden.webp,1200,478,2.51,60604,https://commons.wikimedia.org/wiki/File:SkylineOfChongqing.jpg,,ultra-wide
sa-pa,4,Ham Rong Mountain (Dragon's Jaw),images/landmarks/sa-pa-ham-rong-mountain-dragons-jaw.webp,1200,478,2.51,93792,https://commons.wikimedia.org/wiki/File:Sapa_vu_du_mont_Ham_Rong.jpg,,ultra-wide
marne-la-vallee,3,Château de Champs-sur-Marne,images/landmarks/marne-la-vallee-chateau-de-champs-sur-marne.webp,1200,476,2.521,90586,https://commons.wikimedia.org/wiki/File:Chateau_Champs_sur_Marne.jpg,,ultra-wide
thessaloniki,4,Thessaloníki Waterfront Promenade (Nea Paralia),images/landmarks/thessaloniki-thessaloniki-waterfront-promenade-nea-paralia.webp,1200,476,2.521,87766,https://commons.wikimedia.org/wiki/File:Thessaloniki_beach_promenade.jpg,,ultra-wide
varna,7,Asparuhov Bridge and Asparuhovo Beach,images/landmarks/varna-asparuhov-bridge.webp,1200,476,2.521,68940,https://commons.wikimedia.org/wiki/File:Asparuhov_Bridge_Varna.JPG,,ultra-wide
marseille,7,Palais Longchamp,images/landmarks/marseille-palais-longchamp.webp,1200,475,2.526,166036,https://commons.wikimedia.org/wiki/File:Palais_Longchamp_3.jpg,,ultra-wide
venice,4,Grand Canal,images/landmarks/venice-grand-canal.webp,1200,472,2.542,125260,https://commons.wikimedia.org/wiki/File:Canal_Grande_in_Venice_001.jpg,,ultra-wide
yogyakarta,0,Borobudur Temple,images/landmarks/yogyakarta-borobudur-temple.webp,1200,472,2.542,125820,https://commons.wikimedia.org/wiki/File:Borobudur-Nothwest-view.jpg,,ultra-wide
trier,6,Hauptmarkt,images/landmarks/trier-hauptmarkt.webp,1200,470,2.553,68594,https://commons.wikimedia.org/wiki/File:Hauptmarkt_Trier.jpg,,ultra-wide
salta,0,Plaza 9 de Julio,images/landmarks/salta-plaza-9-de-julio.webp,1200,468,2.564,87788,https://commons.wikimedia.org/wiki/File:Edificios_alrededor_de_la_plaza_9_de_Julio_Salta.jpg,,ultra-wide
yazd,0,Historic City of Yazd,images/landmarks/yazd-historic-city-of-yazd.webp,1200,468,2.564,45714,https://commons.wikimedia.org/wiki/File:Yazd_Historic_City.jpg,,ultra-wide
bern,5,Rose Garden (Rosengarten),images/landmarks/bern-rose-garden.webp,1200,466,2.575,146430,https://commons.wikimedia.org/wiki/File:Bern_Panorama_von_Rosengarten_20211007.jpg,,ultra-wide
novi-sad,0,Petrovaradin Fortress,images/landmarks/novi-sad-petrovaradin-fortress.webp,1200,465,2.581,63162,"https://commons.wikimedia.org/wiki/File:Petrovaradin_Fortress_(Péterváradi_vár,_Peterwardein).JPG",,ultra-wide
