city,idx,name,img,w,h,ratio,page
la-paz,5,Mirador Killi Killi,images/landmarks/la-paz-mirador-killi-killi.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Mirador_Killi_Killi,_La_Paz.jpg"
la-paz,6,Calle Jaén,images/landmarks/la-paz-calle-jaen.webp,640,853,0.75,https://commons.wikimedia.org/wiki/File:La_Paz-Calle_Jaen.jpg
la-serena,2,La Recova Market,images/landmarks/la-serena-la-recova-market.webp,768,1024,0.75,https://commons.wikimedia.org/wiki/File:Tienda_de_productos_artesanales_en_La_Recova.jpg
lagos,3,Tafawa Balewa Square,images/landmarks/lagos-tafawa-balewa-square.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Tafawa_Balewa_Square.jpg
lalibela,4,Bete Golgota-Mikael,images/landmarks/lalibela-bete-golgota-mikael.webp,960,1280,0.75,"https://commons.wikimedia.org/wiki/File:Bete_Golgotha,_waar_de_tombe_van_koning_Lalibela_zou_staan_(6821631255).jpg"
las-palmas-de-gran-canaria,9,Jardín Botánico Canario Viera y Clavijo,images/landmarks/las-palmas-de-gran-canaria-jardin-botanico-canario-viera-y-clavijo.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Jos%C3%A9_de_Viera_y_Clavijo.jpg
lausanne,7,Sauvabelin Tower and Lake,images/landmarks/lausanne-sauvabelin-tower-and-lake.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Sauvabelin_Turm.JPG
leon,4,Iglesia de la Recolección,images/landmarks/leon-iglesia-recoleccion.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Iglesia_de_la_Recoleccion_-_Leon_-_Nicaragua_-_01_(31416391552).jpg
leshan,6,Oriental Buddha Park,images/landmarks/leshan-oriental-buddha-park.webp,1200,1600,0.75,https://en.wikipedia.org/wiki/Oriental_Buddha_Park
leticia,0,Parque Santander,images/landmarks/leticia-parque-santander.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Parque_Santander,_Leticia.JPG"
liberia,4,Museo de Guanacaste,images/landmarks/liberia-museo-de-guanacaste.webp,480,640,0.75,https://commons.wikimedia.org/wiki/File:Pilar_antropomorfo-Guanacaste-Costa_Rica.JPG
libreville,5,Église Saint-Michel de Nkembo,images/landmarks/libreville-eglise-saint-michel.webp,768,1024,0.75,https://commons.wikimedia.org/wiki/File:Eglise_Saint-Michel_de_Nkembo_(31225192077).jpg
libreville,6,Arboretum Raponda Walker,images/landmarks/libreville-arboretum-raponda-walker.webp,810,1080,0.75,https://commons.wikimedia.org/wiki/File:Sortie_de_Wikimedia_Gabon_-_Arboretum_Raponda_Walker_03.jpg
lome,3,Cathédrale du Sacré-Cœur de Lomé,images/landmarks/lome-cathedrale-sacre-coeur.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Cathédrale_du_Sacré-Cœur_de_Lomé_1.jpg
luang-prabang,5,Luang Prabang Night Market,images/landmarks/luang-prabang-night-market.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Haw_Pha_Bang_and_Night_Market.jpg
lubeck,4,Niederegger Marzipan Café and Museum,images/landmarks/lubeck-niederegger-cafe.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Café_Niederegger_in_Lübeck,_marzipan_producer_01.jpg"
lubeck,6,St. Peter's Church Tower (St. Petri),images/landmarks/lubeck-st-petri-church.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Aerial_image_of_St._Peter's_Church,_Lübeck_(view_from_the_southwest).jpg"
