city,idx,name,current_img,current,current_ratio,tier,proposed_file,proposed,proposed_ratio,alternates
lamu,1,Lamu Fort,images/landmarks/lamu-lamu-fort.webp,1057x1600,0.661,strong,File:Lamu Fort Stairs.jpg,4928x3264,1.51,File:Lamu Fort Museum Courtyard.jpg | File:Eastern face of the Lamu Fort building.jpg | File:Drought season in Lamu.jpg
delhi,2,Qutub Minar,images/landmarks/delhi-qutub-minar.webp,1058x1600,0.661,strong,"File:Evening at qutub minar,delhi - panoramio.jpg",4320x3240,1.333,"File:A Potrait view of Qutub Minar.jpg | File:20170213 Qutob-Minar 3158 (34952091940).jpg | File:Gezicht op de Qutb Minar in Delhi The Kootur (titel op object), RP-F-2001-7-1124-8.jpg"
prague,4,St. Vitus Cathedral,images/landmarks/prague-st-vitus-cathedral.webp,1057x1600,0.661,strong,"File:Part of the Golden Gate grid in the St. Vitus Cathedral. Prague, Czech Republic.jpg",5168x3842,1.345,File:Golden Gate (St Vitus Cathedral) – Harvest.jpg | File:Golden Gate (St Vitus Cathedral) – Butcher.jpg | File:Golden Gate (St. Vitus Cathedral) – Harvest (1).jpg
n-djamena,4,Cathédrale Notre-Dame de N'Djaména,images/landmarks/ndjamena-cathedrale-notre-dame.webp,1058x1600,0.661,weak,"File:Building in Fort Lamy, Chad.jpg",1820x1212,1.502,"File:Notables in Fort Lamy, Chad.jpg | File:Man and hut in Fort Lamy, Chad.jpg | File:Fort Lamy, Chad, street.jpg"
axum,5,Ezana Stone,images/landmarks/axum-ezana-stone.webp,1057x1600,0.661,strong,"File:Aksum, iscrizione di re ezana, in greco, sabeo e ge'ez, 330-350 dc ca. 08 ezana.jpg",5472x3648,1.5,"File:Aksum, iscrizione di re ezana, in greco, sabeo e ge'ez, 330-350 dc ca. 13.jpg | File:Aksum, iscrizione di re ezana, in greco, sabeo e ge'ez, 330-350 dc ca., lapide sugli scopritori.jpg | File:Aksum, iscrizione di re ezana, in greco, sabeo e ge'ez, 330-350 dc ca. 11.jpg"
biarritz,3,Biarritz Lighthouse (Phare de Biarritz),images/landmarks/biarritz-lighthouse.webp,1059x1600,0.662,strong,File:Biarritz-Entrée du phare-20131228.jpg,5472x3648,1.5,File:Phare de Biarritz en travaux 2020-10-16.jpg | File:Biarritz-Phare-20211122.jpg | File:Phare de Biarritz-Cap Hainsart-Anglet Chambre d'Amour-20190209.jpg
murree,4,Holy Trinity Church,images/landmarks/murree-holy-trinity-church.webp,1059x1600,0.662,strong,"File:Holy Trinity Church, Murree.JPG",4608x3072,1.5,File:View of Holy Trinity Church Muree.jpg | File:Holy Trinity Church in Murree from backside.jpg | File:Holy Trinity Church In Murree.jpg
leipzig,9,Leipzig Baumwollspinnerei,images/landmarks/leipzig-baumwollspinnerei.webp,1059x1600,0.662,strong,File:Leipzig - Leipziger Baumwollspinnerei.jpg,5184x3456,1.5,File:Leipzig - Leipziger Baumwollspinnerei (2).jpg | File:Leipzig - Leipziger Baumwollspinnerei (3).jpg | File:Leipzig - Leipziger Baumwollspinnerei (5).jpg
accra,3,Jamestown Lighthouse,images/landmarks/accra-jamestown-lighthouse.webp,1059x1600,0.662,strong,File:Jamestown View from Lighthouse 2011 B003.jpg,4608x3072,1.5,"File:Jamestown Lighthouse 20170122.jpg | File:Lighthouse at Jamestown Accra.jpg | File:Lighthouse at Jamestown, Accra.jpg"
kota-kinabalu,9,Kota Kinabalu Waterfront,images/landmarks/kota-kinabalu-waterfront.webp,1060x1600,0.662,strong,"File:Kota Kinabalu waterfront, 2024 (01).jpg",5964x3936,1.515,"File:Kota Kinabalu waterfront, 2024 (03).jpg | File:Kota Kinabalu waterfront, 2024 (05).jpg | File:Tour boats, Kota Kinabalu waterfront, 2024 (01).jpg"
mytilene,9,Statue of Liberty of Mytilene,images/landmarks/mytilene-statue-of-liberty-of-mytilene.webp,1060x1600,0.662,strong,File:Statue of liberty in mytilene.jpg,3648x2736,1.333,File:Statue mytilene.jpg | File:Liberty Statue.JPG | File:Kompleto! 085.jpg
palma-de-mallorca,6,Arab Baths (Banys Àrabs),images/landmarks/palma-arab-baths.webp,1059x1600,0.662,strong,"File:Banys Àrabs (Arabischen Bäder), Palma de Mallorca - panoramio.jpg",4000x2664,1.502,"File:213 Banys Àrabs de Palma, caldari.jpg | File:217 Banys Àrabs de Palma, caldari.jpg | File:218 Banys Àrabs de Palma, cúpula del caldari.jpg"
srimangal,6,Hum Hum Waterfall,images/landmarks/srimangal-hum-hum-waterfall.webp,1060x1600,0.662,strong,File:Hum Hum Waterfall (3).jpg,4160x3120,1.333,File:Hum Hum Waterfall.jpg | File:Hamham falls.jpg | File:Rema-Kalenga HR.jpg
najaf,8,Bahr al-Najaf (Sea of Najaf),images/landmarks/najaf-bahr-al-najaf.webp,1060x1600,0.662,good,File:Abdul Karim Kasim Museum.jpg,6000x4000,1.5,File:Al-Shahbander Cafe.jpg | File:Al-Zawraa park Ferris wheel 1.jpg | File:1كهوف الطار.jpg
nuremberg,4,Documentation Center Nazi Party Rally Grounds,images/landmarks/nuremberg-documentation-center.webp,1059x1600,0.662,good,File:2012 03 17 U-Bahn-Nürnberg Kaulbachplatz.JPG,5184x3456,1.5,File:2012 03 18 Neptunbrunnen in Winterruhe.JPG | File:12-03-17-aktstudien-nuernberg-by-RalfR-04.jpg | File:12-03-17-aktstudien-nuernberg-by-RalfR-05.jpg
port-elizabeth,3,The Campanile,images/landmarks/port-elizabeth-the-campanile.webp,1060x1600,0.662,strong,File:Port Elizabeth Campanile.JPG,4320x3240,1.333,
tirana,7,Tanners' Bridge (Ura e Tabakëve),images/landmarks/tirana-tanners-bridge-ura-e-tabakeve.webp,1059x1600,0.662,strong,File:Ura e Tabakëve Tiranë.jpg,4608x3456,1.333,"File:Ura e Tabakeve, Tirane.jpg | File:Ura e Tabakëve.jpg | File:Ura e Tabakeve Tirane.jpg"
zanzibar-city,9,Malindi Mosque and Old Dhow Harbour,images/landmarks/zanzibar-city-malindi-mosque.webp,1060x1600,0.662,strong,"File:Bamnara,Malindi Mosque in Zanzibar.jpg",2000x1325,1.509,"File:Malindi,Bamnara Mosque in Zanzibar.jpg | File:Bamnara Mosque side view.jpg | File:Bamnara mosque.jpg"
whistler,6,Lost Lake Park,images/landmarks/whistler-lost-lake-park.webp,1059x1600,0.662,strong,File:Labour Day weekend at Lost Lake (44628634925).jpg,3744x2815,1.33,File:Autumn at Lost Lake (38274787661).jpg | File:Lost Lake (4471634174).jpg | File:Contemplating Loggers Lake (31080710697).jpg
yangon,1,Sule Pagoda,images/landmarks/yangon-sule-pagoda.webp,1060x1600,0.662,good,"File:2016 Rangun, Budynek Sekretariatu (Budynek Ministrów) (02).jpg",4925x3283,1.5,"File:2016 Rangun, Budynek Sekretariatu (Budynek Ministrów) (06).jpg | File:2016 Rangun, Budynek Sekretariatu (Budynek Ministrów) (08).jpg | File:2016 Rangun, Dawny budynek Sądu Najwyższego (01).jpg"
yaroslavl,0,Transfiguration Monastery (Spaso-Preobrazhensky),images/landmarks/yaroslavl-spaso-preobrazhensky-monastery.webp,1060x1600,0.662,good,File:Северная стена монастыря изнутри.jpg,6000x4000,1.5,File:Фрагмент стены у бывшей бани.jpg | File:Угличская башня.jpg | File:Монастырские стены на площади Богоявления.jpg
ashgabat,7,Ertugrul Gazi Mosque,images/landmarks/ashgabat-ertugrul-gazi-mosque.webp,1061x1600,0.663,good,File:Badshahi Mosque from Azadi Park.jpg,5096x3349,1.522,
honiara,9,"Parliament House, Honiara",images/landmarks/honiara-parliament-house-honiara.webp,1061x1600,0.663,strong,"File:View of the National Parliament Building, Honiara, Solomon Islands.jpg",1734x1176,1.474,"File:Long shot of the Solomon Islands Parliament House. (10708895683).jpg | File:Olympic Torch Relay, Lawson Tama Stadium, Honiara, Solomon Islands.jpg | File:Honiara.jpg"
stockholm,6,Storkyrkan (Stockholm Cathedral),images/landmarks/stockholm-storkyrkan-stockholm-cathedral.webp,663x1000,0.663,good,File:Carl Gustafs kyrka - koret-2.jpg,3263x2212,1.475,File:Domkyrkan at Lund.jpg | File:Carl Gustafs kyrka - orgeln-1.jpg | File:Edsleskog church.jpg
bengaluru,5,Bull Temple (Dodda Basavana Gudi),images/landmarks/bengaluru-bull-temple.webp,1063x1600,0.664,strong,"File:Sri Big Bull Temple, Dodda Ganeshana Gudi, Bangalore, India - 20130526-03.JPG",3872x2592,1.494,"File:Sri Big Bull Temple, Dodda Ganeshana Gudi, Bangalore, India - 20130526-05.JPG | File:Sri Big Bull Temple, Dodda Ganeshana Gudi, Bangalore, India - 20130526-04.JPG | File:Shree Dodda Ganapathi Temple.jpg"
brugge,4,Church of Our Lady,images/landmarks/brugge-church-of-our-lady.webp,1062x1600,0.664,strong,"File:1009 Church of Our Lady (Bruges, Belgium) Photo by Giles Laurent.jpg",8064x6048,1.333,"File:1010 Church of Our Lady (Bruges) Photo by Giles Laurent.jpg | File:Veere (NL), Onze-Lieve-Vrouwekerk -- 2022 -- 5062.jpg | File:Onze-Lieve-Vrouwekerk Brugge (2).jpg"
dresden,7,Albertinum,images/landmarks/dresden-albertinum.webp,1062x1600,0.664,strong,File:Albertinum (13638283355).jpg,5184x3456,1.5,File:Dresden Germany Park-benches-in-front-of-Albertinum-01.jpg | File:Dresden Germany Albertinum-02.jpg | File:Albertinum Dresden 2020-08-01.jpg
da-lat,3,Linh Phuoc Pagoda,images/landmarks/da-lat-linh-phuoc-pagoda.webp,1062x1600,0.664,strong,"File:View from the Linh Phuoc Pagoda, Dalat.jpg",2592x1740,1.49,File:Linh Phuoc Pagoda 01.jpg | File:Linh Phuoc Pagoda 05.jpg | File:Da Lat - Linh Phuoc Temple 02.jpg
gondar,1,Fasilides' Castle,images/landmarks/gondar-fasilides-castle.webp,1063x1600,0.664,strong,"File:The Ruins at Gondar, Ethiopia - Fasilides Castle (2414137463).jpg",2668x1994,1.338,File:Gondar Castle 16 (28397638922).jpg | File:Gondar Castle 4 (28397645752).jpg | File:Gondar Castle 5 (27887111103).jpg
chefchaouen,0,The Blue Medina (old town),images/landmarks/chefchaouen-blue-medina.webp,1062x1600,0.664,good,File:Essaouira Medina - panoramio (21).jpg,4272x2848,1.5,File:2018 01 (Blue) - Chaouen.jpg | File:Tangier Medina (40115238594).jpg
granada,9,Alcaicería,images/landmarks/granada-alcaiceria.webp,1062x1600,0.664,strong,File:AA ARABIC LAMPS IN MANY COLORS IN ALCAICERIA IN GRANADA 2016.jpg,5472x3648,1.5,File:Souk de l'Alcaiceria (8276322107).jpg | File:Souk de l'Alcaiceria (8277385742).jpg | File:Souk de l'Alcaiceria (8276337905).jpg
jodhpur,7,Rao Jodha Desert Rock Park,images/landmarks/jodhpur-rao-jodha-desert-rock-park.webp,1063x1600,0.664,strong,"File:Rao Jodha Desert Rock Park, Jodhpur, 20191210 1124 7894.jpg",5234x3480,1.504,"File:Mehrangarh Fort, Rao Jodha Desert Rock Park, Jodhpur, 20191210 1142 7903.jpg | File:Mehrangarh Fort, Rao Jodha Desert Rock Park, Jodhpur, 20191210 1206 7932.jpg | File:... Gully trail in Rao Jodha Desert Rock Park (45594566812).jpg"
johor-bahru,2,Arulmigu Sri Rajakaliamman Glass Temple,images/landmarks/johor-bahru-glass-temple.webp,1062x1600,0.664,strong,File:Arulmigu Sri Rajakaliamman Glass Temple - Flickr.jpg,7952x5304,1.499,"File:Arulmigu Sri Rajakaliamman Glass Temple, JB (2025) - img 02.jpg | File:Arulmigu Sri Rajakaliamman Glass Temple, JB (2025) - img 05.jpg | File:Arulmigu Sri Rajakaliamman Glass Temple, JB (2025) - img 04.jpg"
girona,7,Monastery of Sant Pere de Galligants,images/landmarks/girona-sant-pere-de-galligants.webp,1063x1600,0.664,strong,File:Girona - Sant Pere de Galligants - Puente 2016-11-13.jpg,5184x3456,1.5,"File:Girona, Eglesia de Sant Pere de Galligants, 11th-12th cents (8) (31173696312).jpg | File:138 Temps de Flors 2022, plaça dels Jurats (Girona), al fons Sant Pere de Galligants.jpg | File:Girona, Eglesia de Sant Pere de Galligants, 11th-12th cents (6) (31173811702).jpg"
isfahan,5,Ali Qapu Palace,images/landmarks/isfahan-ali-qapu-palace.webp,1063x1600,0.664,strong,File:Ali qapu MR751.jpg,5913x3942,1.5,File:Ali Qapu Building.jpg | File:Ali Qapu Palace Sideview.jpg | File:Ali Qapu Palace Facade view.jpg
hanoi,6,St. Joseph's Cathedral,images/landmarks/hanoi-st-josephs-cathedral.webp,996x1500,0.664,strong,File:St. Joseph Cathedral (9754012723).jpg,5184x3456,1.5,File:St. Joseph Cathedral (9754002293).jpg | File:St. Joseph's Cathedral - 50128560608.jpg | File:St Joseph Cathedral.jpg
karachi,5,Merewether Clock Tower,images/landmarks/karachi-merewether-clock-tower.webp,1062x1600,0.664,strong,File:Clock Tower Karachi Merewether.JPG,4759x3173,1.5,File:Tower Base - Merewether Clock Tower.jpg | File:Merewether clock tower1.jpg | File:Merewether Clock Tower in Karachi.jpg
lilongwe,4,Bingu National Stadium,images/landmarks/lilongwe-bingu-national-stadium.webp,720x1084,0.664,good,File:ISS023-E-35139 - View of Earth.jpg,4256x2913,1.461,File:ISS023-E-35135 - View of Malawi.jpg | File:ISS023-E-35140 - View of Earth.jpg | File:ISS023-E-35136 - View of Earth.jpg
kairouan,5,Bir Barrouta,images/landmarks/kairouan-bir-barrouta.webp,1063x1600,0.664,strong,File:Bir barrouta et sa coupole.jpg,4288x2848,1.506,File:Bir barrouta et la roue.jpg | File:Bir Barrouta 01.JPG | File:Bir Barrouta 02.JPG
klaipeda,2,Meridianas Sailing Ship,images/landmarks/klaipeda-meridianas-sailing-ship.webp,1063x1600,0.664,good,"File:Meridianas, Klaipėda, 2006 (01).jpg",3008x2000,1.504,"File:Gediminas Avenue, 2006 (03).jpg | File:Gediminas Avenue, 2006 (01).jpg | File:Gediminas Avenue, 2006 (02).jpg"
irkutsk,3,Epiphany Cathedral (Bogoyavlensky Sobor),images/landmarks/irkutsk-epiphany-cathedral-bogoyavlensky-sobor.webp,1062x1600,0.664,good,File:RU Irkutsk Church of the Epiphany.jpg,5388x3603,1.495,"File:Epiphany Cathedral, Irkutsk (15858798052).jpg | File:Sobór Objawienia Pańskiego w Irkucku 05.JPG | File:Church of the Epiphany (Irkutsk) (11328095273).jpg"
naples,7,Galleria Umberto I,images/landmarks/naples-galleria-umberto-i.webp,1062x1600,0.664,strong,File:Galleria Umberto I Napoli dettaglio con angeli.jpg,7360x4912,1.498,File:Galleria Umberto I Napoli interno.jpg | File:Galleria Umberto I (Naples) 01 (js).jpg | File:Galleria Umberto I (Naples) 02 (js).jpg
manzhouli,0,Matryoshka Square (Taowa Square),images/landmarks/manzhouli-matryoshka-square.webp,1062x1600,0.664,strong,File:Army of Matryoshka dolls (2995294027).jpg,4288x2848,1.506,"File:DGJ 4705 - Russian Matryoshka (4312413546).jpg | File:7 piece Matryoshka dolls, Queensland, 2021.jpg | File:CreativeTools.se - PackshotCreator - Russian matryoshka dolls (4353860378).jpg"
sharm-el-sheikh,4,Ras Um Sid,images/landmarks/sharm-el-sheikh-ras-um-sid.webp,1062x1600,0.664,strong,File:Beach Gazebo at Ras Um Sid Bay.jpg,4928x3264,1.51,"File:Gold Beach at Ras Um Sid Bay.jpg | File:MEMORIAL AT SHARM EL SHEIKH, EGYPT.jpg"
tofino,6,Rainforest Trail,images/landmarks/tofino-rainforest-trail.webp,1062x1600,0.664,good,File:Tofino Pacific Rim National Park Reserve 03.jpg,6000x4000,1.5,File:Tofino Pacific Rim National Park Reserve 01.jpg
taichung,4,Luce Memorial Chapel (Tunghai University),images/landmarks/taichung-luce-memorial-chapel-tunghai-university.webp,1063x1600,0.664,strong,File:Luce Memorial Chapel - Tunghai University - DSC01578.JPG,5472x3648,1.5,File:Luce Memorial Chapel - Tunghai University - DSC01491.JPG | File:Luce Memorial Chapel - Tunghai University - DSC01590.JPG | File:Luce Memorial Chapel - Tunghai University - DSC01586.JPG
turpan,4,Turpan Karez System,images/landmarks/turpan-karez-system.webp,1062x1600,0.664,strong,File:Tourists visited the karez museum and a grape farmer's land in Turpan July 2018 13.jpg,4896x3672,1.333,File:Karez museum in Turpan July 2018 14.jpg | File:Tourists visited the karez museum and a grape farmer's land in Turpan July 2018 19.jpg | File:2017-07-23 Turpan Karez Folk Park 24 anagoria.jpg
zaragoza,9,Expo 2008 Riverfront,images/landmarks/zaragoza-expo-2008-riverfront.webp,1063x1600,0.664,strong,"File:Zaragoza - Recinto Expo 2008, Torre del Agua 08.jpg",2048x1536,1.333,"File:Expo-Zaragoza-España18.JPG | File:Torre del Agua, Expozaragoza 2008, Zaragoza, España.JPG | File:Torre del Agua (9153160781).jpg"
acapulco-de-juarez,0,La Quebrada Cliff Divers,images/landmarks/acapulco-de-juarez-la-quebrada-cliff-divers.webp,679x1021,0.665,good,"File:Acapulco, where the cliff divers perform (47546175841).jpg",1564x978,1.599,"File:La Quebrada - Acapulco, Mexico.jpg | File:La Quebrada, Acapulco Mx.jpg | File:Final Preparation, La Quebrada.jpg"
aleppo,3,Khan al-Jumruk,images/landmarks/aleppo-khan-al-jumruk.webp,1064x1600,0.665,strong,File:Aleppo Khan al-Jumruk 9163.jpg,4256x2832,1.503,File:Aleppo Khan al-Jumruk 9161.jpg | File:Aleppo Khan al-Jumruk 9158.jpg | File:Fonds Solange Ory (1927-2018) - Syrie - Alep - Khan al-Jumruk - Coupole et alvéoles (MédiHAL 5024960).jpg
antsiranana,1,Les Trois Baies (Three Bays),images/landmarks/antsiranana-les-trois-baies.webp,1064x1600,0.665,good,File:ISS064-E-23347 - View of Earth.jpg,5568x3712,1.5,File:ISS064-E-23346 - View of Earth.jpg | File:ISS064-E-23350 - View of Earth.jpg | File:Baie de Diego saurez (vu 6em étage).jpg
fethiye,7,Telmessos Amphitheatre,images/landmarks/fethiye-telmessos-amphitheatre.webp,1064x1600,0.665,strong,File:Old amphitheatre (1091851323).jpg,3072x2304,1.333,File:Old amphitheatre (1092724836).jpg | File:Telmessos Theater.jpg | File:Fethiye Roman theatre before restoration 5757.jpg
gaziantep,0,Zeugma Mosaic Museum,images/landmarks/gaziantep-zeugma-mosaic-museum.webp,1064x1600,0.665,strong,File:Gaziantep Zeugma museum Oceanus and Thetys mosaic Oceanus Thetys and dragon Cetos in 2019 3993.jpg,8256x5504,1.5,File:Gaziantep Zeugma museum Oceanus and Thetys mosaic Eros on dolphin in 2019 3996.jpg | File:Gaziantep Zeugma Museum Oceanus and Thetys mosaic Maybe Pan in 2014 2496.jpg | File:Gaziantep Zeugma Museum Oceanus and Thetys mosaic Eros on dolpin in 2014 2492.jpg
girona,6,Basilica of Sant Feliu,images/landmarks/girona-basilica-sant-feliu.webp,1064x1600,0.665,strong,"File:148 Temps de Flors 2022, escales de Sant Feliu (Girona).jpg",4160x3120,1.333,"File:Gerona, Sant Feliu (7), RI-51-0000554-WLM.jpg | File:Sant Feliu de Girona.jpg | File:Capitells de l'Església de Sant Feliu.jpg"
damascus,8,Mausoleum of Saladin,images/landmarks/damascus-mausoleum-of-saladin.webp,1064x1600,0.665,strong,File:Damascus mausoleum of Sultan Saladin 8147.jpg,4256x2832,1.503,File:Damascus monument for first perished Turkish pilots at mausoleum of Sultan Saladin 8149.jpg | File:Damascus mausoleum of Sultan Saladin 8144.jpg | File:Damascus mausoleum of Sultan Saladin 8145.jpg
bahir-dar,2,Ura Kidane Mehret Monastery,images/landmarks/bahir-dar-ura-kidane-mehret-monastery.webp,1064x1600,0.665,strong,File:Exterior of Ura Kidane Mihret (Church) - Zege Peninsula - Near Bahir Dar - Ethiopia (8680676328).jpg,3648x2736,1.333,"File:Monastero di ura kidanemihret, esterno 01 ingresso.jpg"
konya,4,Karatay Medrese,images/landmarks/konya-karatay-medrese.webp,1064x1600,0.665,strong,File:Konya Karatay Ceramics Museum 2829.jpg,4256x2832,1.503,File:Konya Karatay Ceramics Museum exterior 2010 2504.jpg | File:Konya Karatay Ceramics Museum exterior 2010 2827.jpg | File:Konya Karatay Ceramics Museum exterior 4462.jpg
konya,9,Sırçalı Medrese,images/landmarks/konya-sircali-medrese.webp,1064x1600,0.665,strong,File:Konya Sırçalı Medrese gravestone museum 4490.jpg,4256x2832,1.503,File:Konya Sırçalı Medrese gravestone museum 4492.jpg | File:Konya Sırçalı Medrese gravestone museum 4493.jpg | File:Konya Sırçalı Medrese gravestone museum 4495.jpg
konya,7,Aziziye Mosque,images/landmarks/konya-aziziye-mosque.webp,1064x1600,0.665,strong,File:Konya Aziziye Mosque 3012.jpg,4256x2832,1.503,File:Konya Aziziye Mosque 3821.jpg | File:Konya Aziziye Mosque exterior 2942.jpg | File:Konya Aziziye Mosque exterior 3825.jpg
maputo,2,Cathedral of Our Lady of Conception,images/landmarks/maputo-cathedral-of-our-lady-of-conception.webp,1064x1600,0.665,good,File:Catedral (3911440831).jpg,3872x2592,1.494,File:The Independence Square (7667683818).jpg | File:Avenida Agostinho Neto (503880696).jpg | File:Xenon Cinema (503893606).jpg
pristina,7,Clock Tower (Sahat Kulla),images/landmarks/pristina-clock-tower.webp,1064x1600,0.665,strong,File:Sahat Kulla-Prishtine.JPG,4608x3072,1.5,File:Sahat Kulla- Prishtina.JPG | File:Sahat Kulla e Sahatit Prishtinë 03.jpg | File:Sahat Kulla e Sahatit Prishtinë 06.jpg
pittsburgh,9,Fallingwater,images/landmarks/pittsburgh-fallingwater.webp,1064x1600,0.665,strong,File:Fallingwater - DSC05643.JPG,5472x3648,1.5,File:Stewart Township - Fallingwater - 20151008094706.jpg | File:Stewart Township - Fallingwater - 20180528101607.jpg | File:Fallingwater - DSC05598.JPG
mykonos,9,Archaeological Museum of Mykonos,images/landmarks/mykonos-archaeological-museum-of-mykonos.webp,1064x1600,0.665,strong,"File:Bracelets in form of snake, Gold, Cyclades 19th c, AM of Mykonos, exhibition, 224882.jpg",4419x2941,1.503,"File:Kastro in Chora of Mykonos, 247696.jpg | File:Kastro in Chora of Mykonos, 247700.jpg | File:Gold jewellery, Bone and wooden combs, Jug, 17th-19th c, AM of Mykonos, exhibition, 224879.jpg"
matsuyama,3,Isaniwa Shrine,images/landmarks/matsuyama-isaniwa-shrine.webp,1064x1600,0.665,strong,File:Isaniwa Shrine (52005828830).jpg,5921x3948,1.5,File:Isaniwa Shrine (52005366638).jpg | File:伊佐爾波神社 Isaniwa Shrine - panoramio.jpg | File:Isaniwa Shrine roumon.jpg
seville,4,Torre del Oro,images/landmarks/seville-torre-del-oro.webp,1064x1600,0.665,strong,File:Canal de Alfonso XIII Torre del Oro Sevilla.jpg,5150x3290,1.565,File:Batalla de Lepanto Torre del Oro.jpg | File:Catedral de Sevilla y vista parcial de la Torre de la Plata (vista desde la Torre del Oro).jpg | File:La Torre del Oro.jpg
tallinn,9,St. Mary's Cathedral (Toomkirik),images/landmarks/tallinn-st-marys-cathedral-toomkirik.webp,1064x1600,0.665,strong,"File:St Mary's Cathedral in Tallinn, Estonia - panoramio.jpg",4131x2983,1.385,File:Tallinn Cathedral - Tallinna Toomkirik - panoramio.jpg | File:Tallinn - Tallinna toomkirik - 2025-09-28 20-22-03 001.JPG | File:Tallinn - Tallinna toomkirik - 2025-09-28 20-24-46 001.JPG
aachen,4,Carolus Thermen,images/landmarks/aachen-carolus-thermen.webp,1066x1600,0.666,strong,File:Hot air balloon Carolus Thermen.jpg,1800x1200,1.5,File:20190628 aachen246.jpg | File:20190628 aachen244.jpg | File:20190628 aachen245.jpg
aix-en-provence,1,Cathédrale Saint-Sauveur,images/landmarks/aix-en-provence-cathedrale-saint-sauveur.webp,1066x1600,0.666,strong,File:Toit 1-2 Baptistère Cathédrale Saint Sauveur Aix en Provence.jpg,3000x2000,1.5,File:Toit 2-2 Baptistère Cathédrale Saint Sauveur Aix en Provence.jpg | File:La Cathedrale St-Sauveur - Aix-en-Provence (5787483853).jpg | File:Cathédrale Saint-Sauveur entrée potelet place Monseigneur de Boisgelin Aix-en-Provence France.JPG
aurangabad,5,Grishneshwar Temple,images/landmarks/aurangabad-grishneshwar-temple.webp,1066x1600,0.666,strong,File:Grishneshwar Mosque.jpg,5198x3462,1.501,"File:Grishneshwar, Ellora - panoramio (1).jpg | File:Grishneshwar, Ellora - panoramio (10).jpg | File:Grishneshwar, Ellora - panoramio (12).jpg"
banff,4,Johnston Canyon,images/landmarks/banff-johnston-canyon.webp,533x800,0.666,strong,File:Johnston Canyon - Banff (29473002666).jpg,6000x4000,1.5,"File:Johnston Canyon, Banff National Park, Alberta, 2025-07-12 02.jpg | File:Johnston Canyon, Banff National Park, Alberta, 2025-07-12 04.jpg | File:Johnston Canyon, Banff National Park, Alberta, 2025-07-12 06.jpg"
banff,6,Cave and Basin National Historic Site,images/landmarks/banff-cave-and-basin-national-historic-site.webp,1066x1600,0.666,strong,File:Cave and Basin National Historic Site 03.jpg,5428x3618,1.5,File:Cave and Basin National Historic Site 04.jpg | File:Cave and Basin National Historic Site 05.jpg | File:Cave and Basin National Historic Site.jpg
barranquilla,7,Iglesia de San Nicolás de Tolentino,images/landmarks/barranquilla-iglesia-san-nicolas-de-tolentino.webp,1066x1600,0.666,strong,File:Iglesia de San Nicolás de Tolentino Barranquilla 2.JPG,5184x3456,1.5,File:Plaza de la Iglesia de San Nicolás de Tolentino.JPG | File:Iglesia de San Nicolás de Tolentino.jpg | File:Iglesia San Nicolas de Tolentino.jpg
baku,2,Maiden Tower (Qız Qalası),images/landmarks/baku-maiden-tower-qz-qalas.webp,1066x1600,0.666,strong,File:Maiden Tower after reconstruction.JPG,4752x3168,1.5,"File:Maiden Tower (Baku,Azerbaijan).jpg | File:Azerbaijani carpets near Maiden Tower.JPG | File:Maiden Tower Baku.jpg"
batumi,0,Batumi Boulevard,images/landmarks/batumi-batumi-boulevard.webp,1066x1600,0.666,strong,File:Batumi Boulevard Alley 2.jpg,2048x1365,1.5,"File:Batumi Boulevard Iclusive Beach.jpg | File:Batumi Sea Port, Georgia (51304532368).jpg | File:Batumi, Georgia - panoramio (27).jpg"
bangkok,2,Wat Pho (Temple of the Reclining Buddha),images/landmarks/bangkok-wat-pho.webp,1066x1600,0.666,strong,File:Wat Pho bangkok reclining buddha IMG 6947.JPG,3264x2448,1.333,File:Wat Pho bangkok reclining buddha IMG 6956.JPG | File:Wat Pho bangkok reclining buddha IMG 6957.JPG | File:Wat Pho bangkok reclining buddha IMG 6961.JPG
barcelona,4,Barcelona Cathedral,images/landmarks/barcelona-cathedral.webp,1066x1600,0.666,strong,File:Barcelona Cathedral Interior - view of the dome.jpg,8256x5504,1.5,File:Barcelona Cathedral Interior - Ark of Santa Eulalia.jpg | File:Barcelona Cathedral Interior - Ceiling and choir.jpg | File:Barcelona Cathedral Interior - Royal tombs in the Cathedral of Barcelona - The Queens.jpg
bengaluru,7,St. Mary's Basilica,images/landmarks/bengaluru-st-mary-s-basilica.webp,1066x1600,0.666,strong,File:St. Mary's Basilica Bangalore.jpg,1600x1200,1.333,File:St. Mary's Basilica Bangalore gate.jpg
bern,0,Zytglogge (Clock Tower),images/landmarks/bern-zytglogge.webp,1066x1600,0.666,strong,"File:Astronomical clock of the ""Zytglogge"" tower in Berne, Switzerland.jpg",4500x3000,1.5,File:The Zytglogge clock tower.jpg | File:Zytglogge clock tower around year 1900.jpg | File:Bern - Kramgasse mit Zytglogge (2014).jpg
bratislava,2,Michael's Gate,images/landmarks/bratislava-michael-s-gate.webp,1066x1600,0.666,strong,File:Michael's Gate and tower (10267681486).jpg,4288x2848,1.506,"File:Michael's Gate and tower (10267283706).jpg | File:Bratislava, Michael´s Gate.JPG | File:Michael S Gate (232304115).jpeg"
