city,idx,name,current_img,current,current_ratio,tier,proposed_file,proposed,proposed_ratio,alternates
miami,5,Little Havana (Calle Ocho),images/landmarks/miami-little-havana-calle-ocho.webp,1200x1502,0.799,strong,"File:April 7, 2015 - Little Havana, Miami, Florida - Calle Ocho Cigar Shop.jpg",4928x3264,1.51,"File:Calle Ocho, Little Havana, Miami, Florida 2021 - Casa Habano Boss Revolution.jpg | File:Calle Ocho, Little Havana, Miami, Florida 2021 - Havana Club Smoke & Vape.jpg | File:Calle Ocho Little Havana - Cigar factory and cafe, August 2023.jpg"
santiago-de-compostela,0,Catedral de Santiago de Compostela,images/landmarks/santiago-de-compostela-catedral.webp,1200x1501,0.799,strong,File:2010-Catedral de Santiago de Compostela-Galicia (Spain) 2.jpg,4000x2667,1.5,File:2010-Catedral de Santiago de Compostela-Galicia (Spain) 3.jpg | File:Catedral de Santiago de Compostela. Galiza 2022-eue--13.jpg | File:Catedral de Santiago de Compostela. Galiza 2022-eue--10.jpg
phitsanulok,0,Wat Phra Si Rattana Mahathat (Wat Yai),images/landmarks/phitsanulok-wat-phra-si-rattana-mahathat.webp,1200x1501,0.799,strong,File:Wat Phra Sri Rattana Mahathat 01.jpg,3888x2592,1.5,File:Wat Phra Sri Rattana Mahathat 10.jpg | File:Wat Phra Sri Rattana Mahathat 14.jpg | File:Wat Phra Sri Rattana Mahathat 15.jpg
atlanta,3,Fox Theatre,images/landmarks/atlanta-fox-theatre.webp,1200x1500,0.8,strong,"File:Cornerstone of the Fox Theatre in Atlanta, Georgia, United States.jpg",4032x3024,1.333,"File:Fox Theatre cornerstone, Atlanta.jpg | File:The Fox Theatre on a quiet Saturday morning, viewed from the corner of Peachtree Street and Ponce de Leon Avenue.jpg | File:Hotels around Fabulous Fox Theater.JPG"
baguio,6,Tam-Awan Village,images/landmarks/baguio-tam-awan-village.webp,1200x1500,0.8,good,File:Baguio City Market - Vegetable Proper.jpg,3984x2656,1.5,File:Baguio (12435809113).jpg | File:BaguioCityjf0151 01.JPG | File:BaguioCityjf0151 11.JPG
atlanta,5,Piedmont Park,images/landmarks/atlanta-piedmont-park.webp,1200x1500,0.8,good,File:AATLBuckhead202310-8490.jpg,4837x3225,1.5,"File:15-10-085, atlanta from stone mountain - panoramio.jpg | File:A2ATL20250614-0721.jpg | File:AATL202503-0850.jpg"
funafuti,3,Funafuti Lagoon,images/landmarks/funafuti-lagoon.webp,1065x1331,0.8,strong,File:Tuvalu - Funafuti - Beach.jpg,4352x2892,1.505,"File:Tuvalu Funafuti atoll beach.jpg | File:Funafuti Plage w.jpg | File:The atoll of Funafuti; borings into a coral reef and the results, being the report of the Coral Reef Committee of the Royal Society (1904) (14762635691).jpg"
cuiaba,7,Museu do Morro da Caixa D'Água Velha,images/landmarks/cuiaba-museu-morro-caixa-dagua-velha.webp,1200x1500,0.8,good,"File:Museu Manoel do Espírito Santo ""Rei da Água"" - Cuiabá - 20231029143030.JPG",4000x3000,1.333,"File:Museu Manoel do Espírito Santo ""Rei da Água"" - Cuiabá - 20231029141555.JPG | File:Museu Manoel do Espírito Santo ""Rei da Água"" - Cuiabá - 20231029144603.JPG | File:Museu Manoel do Espírito Santo ""Rei da Água"" - Cuiabá - 20231029143105.JPG"
guilin,4,Sun and Moon Pagodas (Riyue Shuang Ta),images/landmarks/guilin-sun-and-moon-pagodas.webp,1200x1500,0.8,strong,File:Sun and Moon Pagodas Guilin November 2017 HDR.jpg,6016x4016,1.498,File:Lake Shanhu pagodas at night.jpg | File:China - Guilin 1 - Pagodas at night (140908074).jpg | File:Yixian Hongcun 2016.09.09 18-21-34.jpg
monastir,4,Marina Cap Monastir,images/landmarks/monastir-marina-cap-monastir.webp,1200x1500,0.8,strong,File:Monastir cemetery and marina.jpg,4288x2848,1.506,File:Marina monastir.JPG | File:La marina monastir tunisie.jpg | File:Cap Monastir - panoramio.jpg
hamadan,5,Baba Taher Mausoleum,images/landmarks/hamadan-baba-taher-mausoleum.webp,1200x1500,0.8,strong,File:Baba Taher Mausoleum in Hamadan.jpg,4608x2592,1.778,File:Baba Taher.jpg | File:Baba Taher 2.jpg | File:Baba Taher mkh.JPG
murree,6,Mushkpuri Top,images/landmarks/murree-mushkpuri-top.webp,1200x1500,0.8,strong,File:Mushkpuri Top 1.jpg,6000x4000,1.5,File:Mushkpuri Top beautiful view.jpg | File:Trekking towards Mushkpuri Top.jpg | File:Mushkpuri Top.JPG
pisa,7,Tuttomondo Mural by Keith Haring,images/landmarks/pisa-tuttomondo-mural-keith-haring.webp,1200x1500,0.8,good,"File:""Tuttomondo"", Pisa (26405323320).jpg",4608x3456,1.333,"File:Chiesa di sant'antonio, pisa, lato.JPG"
mumbai,3,Haji Ali Dargah,images/landmarks/mumbai-haji-ali-dargah.webp,1200x1500,0.8,strong,File:Haji ali dargah mumbai - irfani.jpg,5367x3578,1.5,"File:Mumbai 03-2016 12 Haji Ali Dargah.jpg | File:Haji Ali Dargah in Mumbai.jpg | File:Haji Ali Mosque and Dargah, Mumbai, Maharashtra, India.jpg"
san-pedro-sula,5,Cascadas de Pulhapanzak,images/landmarks/san-pedro-sula-cascadas-de-pulhapanzak.webp,750x938,0.8,good,File:Pico-Bonito (12122463094).jpg,5184x3456,1.5,File:Parqueo - panoramio.jpg | File:Valle de Comayagua Honduras.jpg | File:HN078sMarcs ValleyView.jpg
taipei,9,Yangmingshan National Park,images/landmarks/taipei-yangmingshan-national-park.webp,1200x1500,0.8,good,File:步道上的旺盛生機.jpg,5184x3456,1.5,File:DSC 4265 (35777834250).jpg | File:DSC 4279 (36129293266).jpg | File:DSC 4283 (36002618152).jpg
salerno,7,Pinacoteca Provinciale di Salerno,images/landmarks/salerno-pinacoteca-provinciale-di-salerno.webp,1200x1500,0.8,strong,"File:Andrea sabatini da salerno, sposalizio mistico di s. caterina d'alessandria, 1519 (nocera inferiore, pinacoteca del convento di s. antonio) 03 firma e data.jpg",4674x3510,1.332,"File:Andrea da salerno, san bertario in trono, 1514, 04.jpg | File:Antonello da messina, vergine annunciata o advocata, 1445-50 ca. (como, pinacoteca civica) 04.jpg | File:Andrea da salerno, san bertario in trono, 1514, 02 frati.jpg"
